text,text_length,prediction,confidence
what is my account balance,26,balance,0.6264
book a flight to new york,25,book_flight,0.1832
set an alarm for 7am,20,alarm,0.9719
transfer 100 dollars to savings,31,transfer,0.4333
what is the weather like today,30,weather,0.7172
cancel my hotel reservation,27,cancel_reservation,0.9162
what is my credit score,23,credit_score,0.901
play some music,15,play_music,0.8881
remind me to call mom,21,reminder_update,0.6112
what time is it,15,time,0.9461
what is my account balance,26,balance,0.6264
book a flight to new york,25,book_flight,0.1832
set an alarm for 7am,20,alarm,0.9719
transfer 100 dollars to savings,31,transfer,0.4333
what is the weather like today,30,weather,0.7172
cancel my hotel reservation,27,cancel_reservation,0.9162
what is my credit score,23,credit_score,0.901
play some music,15,play_music,0.8881
remind me to call mom,21,reminder_update,0.6112
what time is it,15,time,0.9461
what is my account balance,26,balance,0.6264
book a flight to new york,25,book_flight,0.1832
set an alarm for 7am,20,alarm,0.9719
transfer 100 dollars to savings,31,transfer,0.4333
what is the weather like today,30,weather,0.7172
cancel my hotel reservation,27,cancel_reservation,0.9162
what is my credit score,23,credit_score,0.901
play some music,15,play_music,0.8881
remind me to call mom,21,reminder_update,0.6112
what time is it,15,time,0.9461
what is my account balance,26,balance,0.6264
book a flight to new york,25,book_flight,0.1832
set an alarm for 7am,20,alarm,0.9719
transfer 100 dollars to savings,31,transfer,0.4333
what is the weather like today,30,weather,0.7172
cancel my hotel reservation,27,cancel_reservation,0.9162
what is my credit score,23,credit_score,0.901
play some music,15,play_music,0.8881
remind me to call mom,21,reminder_update,0.6112
what time is it,15,time,0.9461
what is my account balance,26,balance,0.6264
book a flight to new york,25,book_flight,0.1832
set an alarm for 7am,20,alarm,0.9719
transfer 100 dollars to savings,31,transfer,0.4333
what is the weather like today,30,weather,0.7172
cancel my hotel reservation,27,cancel_reservation,0.9162
what is my credit score,23,credit_score,0.901
play some music,15,play_music,0.8881
remind me to call mom,21,reminder_update,0.6112
what time is it,15,time,0.9461
what is my account balance,26,balance,0.6264
book a flight to new york,25,book_flight,0.1832
set an alarm for 7am,20,alarm,0.9719
transfer 100 dollars to savings,31,transfer,0.4333
what is the weather like today,30,weather,0.7172
cancel my hotel reservation,27,cancel_reservation,0.9162
what is my credit score,23,credit_score,0.901
play some music,15,play_music,0.8881
remind me to call mom,21,reminder_update,0.6112
what time is it,15,time,0.9461
what is my account balance,26,balance,0.6264
book a flight to new york,25,book_flight,0.1832
set an alarm for 7am,20,alarm,0.9719
transfer 100 dollars to savings,31,transfer,0.4333
what is the weather like today,30,weather,0.7172
cancel my hotel reservation,27,cancel_reservation,0.9162
what is my credit score,23,credit_score,0.901
play some music,15,play_music,0.8881
remind me to call mom,21,reminder_update,0.6112
what time is it,15,time,0.9461
what is my account balance,26,balance,0.6264
book a flight to new york,25,book_flight,0.1832
set an alarm for 7am,20,alarm,0.9719
transfer 100 dollars to savings,31,transfer,0.4333
what is the weather like today,30,weather,0.7172
cancel my hotel reservation,27,cancel_reservation,0.9162
what is my credit score,23,credit_score,0.901
play some music,15,play_music,0.8881
remind me to call mom,21,reminder_update,0.6112
what time is it,15,time,0.9461
what is my account balance,26,balance,0.6264
book a flight to new york,25,book_flight,0.1832
set an alarm for 7am,20,alarm,0.9719
transfer 100 dollars to savings,31,transfer,0.4333
what is the weather like today,30,weather,0.7172
cancel my hotel reservation,27,cancel_reservation,0.9162
what is my credit score,23,credit_score,0.901
play some music,15,play_music,0.8881
remind me to call mom,21,reminder_update,0.6112
what time is it,15,time,0.9461
what is my account balance,26,balance,0.6264
book a flight to new york,25,book_flight,0.1832
set an alarm for 7am,20,alarm,0.9719
transfer 100 dollars to savings,31,transfer,0.4333
what is the weather like today,30,weather,0.7172
cancel my hotel reservation,27,cancel_reservation,0.9162
what is my credit score,23,credit_score,0.901
play some music,15,play_music,0.8881
remind me to call mom,21,reminder_update,0.6112
what time is it,15,time,0.9461
