text,text_length,prediction,confidence
yo can u like book me a flight or whatever lol asap pls thx,59,book_flight,0.0862
URGENT need balance info RIGHT NOW account frozen help,54,freeze_account,0.1581
vibes check what's my acc status fr fr no cap,45,no,0.1112
bruh my card declined again smh fix this,40,card_declined,0.4803
lowkey need to know my balance rn no joke,41,balance,0.1026
literally just tell me the weather already ugh,46,weather,0.5367
ayo set alarm for tmrw 7 yk the usual,37,alarm,0.5418
ngl i forgot my pin can u reset it asap,39,pin_change,0.2394
fr need to cancel this reservation its giving regret,52,cancel_reservation,0.3959
tbh just play whatever music u got rn,37,play_music,0.8425
yo can u like book me a flight or whatever lol asap pls thx,59,book_flight,0.0862
URGENT need balance info RIGHT NOW account frozen help,54,freeze_account,0.1581
vibes check what's my acc status fr fr no cap,45,no,0.1112
bruh my card declined again smh fix this,40,card_declined,0.4803
lowkey need to know my balance rn no joke,41,balance,0.1026
literally just tell me the weather already ugh,46,weather,0.5367
ayo set alarm for tmrw 7 yk the usual,37,alarm,0.5418
ngl i forgot my pin can u reset it asap,39,pin_change,0.2394
fr need to cancel this reservation its giving regret,52,cancel_reservation,0.3959
tbh just play whatever music u got rn,37,play_music,0.8425
yo can u like book me a flight or whatever lol asap pls thx,59,book_flight,0.0862
URGENT need balance info RIGHT NOW account frozen help,54,freeze_account,0.1581
vibes check what's my acc status fr fr no cap,45,no,0.1112
bruh my card declined again smh fix this,40,card_declined,0.4803
lowkey need to know my balance rn no joke,41,balance,0.1026
literally just tell me the weather already ugh,46,weather,0.5367
ayo set alarm for tmrw 7 yk the usual,37,alarm,0.5418
ngl i forgot my pin can u reset it asap,39,pin_change,0.2394
fr need to cancel this reservation its giving regret,52,cancel_reservation,0.3959
tbh just play whatever music u got rn,37,play_music,0.8425
yo can u like book me a flight or whatever lol asap pls thx,59,book_flight,0.0862
URGENT need balance info RIGHT NOW account frozen help,54,freeze_account,0.1581
vibes check what's my acc status fr fr no cap,45,no,0.1112
bruh my card declined again smh fix this,40,card_declined,0.4803
lowkey need to know my balance rn no joke,41,balance,0.1026
literally just tell me the weather already ugh,46,weather,0.5367
ayo set alarm for tmrw 7 yk the usual,37,alarm,0.5418
ngl i forgot my pin can u reset it asap,39,pin_change,0.2394
fr need to cancel this reservation its giving regret,52,cancel_reservation,0.3959
tbh just play whatever music u got rn,37,play_music,0.8425
yo can u like book me a flight or whatever lol asap pls thx,59,book_flight,0.0862
URGENT need balance info RIGHT NOW account frozen help,54,freeze_account,0.1581
vibes check what's my acc status fr fr no cap,45,no,0.1112
bruh my card declined again smh fix this,40,card_declined,0.4803
lowkey need to know my balance rn no joke,41,balance,0.1026
literally just tell me the weather already ugh,46,weather,0.5367
ayo set alarm for tmrw 7 yk the usual,37,alarm,0.5418
ngl i forgot my pin can u reset it asap,39,pin_change,0.2394
fr need to cancel this reservation its giving regret,52,cancel_reservation,0.3959
tbh just play whatever music u got rn,37,play_music,0.8425
yo can u like book me a flight or whatever lol asap pls thx,59,book_flight,0.0862
URGENT need balance info RIGHT NOW account frozen help,54,freeze_account,0.1581
vibes check what's my acc status fr fr no cap,45,no,0.1112
bruh my card declined again smh fix this,40,card_declined,0.4803
lowkey need to know my balance rn no joke,41,balance,0.1026
literally just tell me the weather already ugh,46,weather,0.5367
ayo set alarm for tmrw 7 yk the usual,37,alarm,0.5418
ngl i forgot my pin can u reset it asap,39,pin_change,0.2394
fr need to cancel this reservation its giving regret,52,cancel_reservation,0.3959
tbh just play whatever music u got rn,37,play_music,0.8425
yo can u like book me a flight or whatever lol asap pls thx,59,book_flight,0.0862
URGENT need balance info RIGHT NOW account frozen help,54,freeze_account,0.1581
vibes check what's my acc status fr fr no cap,45,no,0.1112
bruh my card declined again smh fix this,40,card_declined,0.4803
lowkey need to know my balance rn no joke,41,balance,0.1026
literally just tell me the weather already ugh,46,weather,0.5367
ayo set alarm for tmrw 7 yk the usual,37,alarm,0.5418
ngl i forgot my pin can u reset it asap,39,pin_change,0.2394
fr need to cancel this reservation its giving regret,52,cancel_reservation,0.3959
tbh just play whatever music u got rn,37,play_music,0.8425
yo can u like book me a flight or whatever lol asap pls thx,59,book_flight,0.0862
URGENT need balance info RIGHT NOW account frozen help,54,freeze_account,0.1581
vibes check what's my acc status fr fr no cap,45,no,0.1112
bruh my card declined again smh fix this,40,card_declined,0.4803
lowkey need to know my balance rn no joke,41,balance,0.1026
literally just tell me the weather already ugh,46,weather,0.5367
ayo set alarm for tmrw 7 yk the usual,37,alarm,0.5418
ngl i forgot my pin can u reset it asap,39,pin_change,0.2394
fr need to cancel this reservation its giving regret,52,cancel_reservation,0.3959
tbh just play whatever music u got rn,37,play_music,0.8425
yo can u like book me a flight or whatever lol asap pls thx,59,book_flight,0.0862
URGENT need balance info RIGHT NOW account frozen help,54,freeze_account,0.1581
vibes check what's my acc status fr fr no cap,45,no,0.1112
bruh my card declined again smh fix this,40,card_declined,0.4803
lowkey need to know my balance rn no joke,41,balance,0.1026
literally just tell me the weather already ugh,46,weather,0.5367
ayo set alarm for tmrw 7 yk the usual,37,alarm,0.5418
ngl i forgot my pin can u reset it asap,39,pin_change,0.2394
fr need to cancel this reservation its giving regret,52,cancel_reservation,0.3959
tbh just play whatever music u got rn,37,play_music,0.8425
yo can u like book me a flight or whatever lol asap pls thx,59,book_flight,0.0862
URGENT need balance info RIGHT NOW account frozen help,54,freeze_account,0.1581
vibes check what's my acc status fr fr no cap,45,no,0.1112
bruh my card declined again smh fix this,40,card_declined,0.4803
lowkey need to know my balance rn no joke,41,balance,0.1026
literally just tell me the weather already ugh,46,weather,0.5367
ayo set alarm for tmrw 7 yk the usual,37,alarm,0.5418
ngl i forgot my pin can u reset it asap,39,pin_change,0.2394
fr need to cancel this reservation its giving regret,52,cancel_reservation,0.3959
tbh just play whatever music u got rn,37,play_music,0.8425
what is my account balance,26,balance,0.8772
book a flight to paris,22,book_flight,0.1532
set an alarm,12,alarm,0.945
hello,5,greeting,0.832
what time is it,15,time,0.9183
hello,5,greeting,0.832
goodbye,7,goodbye,0.7772
what is the weather,19,weather,0.9207
transfer money,14,transfer,0.5365
what is my account balance,26,balance,0.8772
book a flight to paris,22,book_flight,0.1532
what is my account balance,26,balance,0.6264
set an alarm for 7am,20,alarm,0.9719
cancel my hotel reservation,27,cancel_reservation,0.9162
what is the meaning of life,27,meaning_of_life,0.9474
write me a poem about the ocean,31,fun_fact,0.1344
tell me about quantum physics,29,fun_fact,0.3517
set an alarm for 7am,20,alarm,0.9719
what is my account balance,26,balance,0.8772
what is my account balance,26,balance,0.6264
what is my account balance,26,balance,0.8772
what is my account balance,26,balance,0.6264
book a flight to paris,22,book_flight,0.1532
set an alarm,12,alarm,0.945
hello,5,greeting,0.832
what time is it,15,time,0.9183
hello,5,greeting,0.832
goodbye,7,goodbye,0.7772
what is the weather,19,weather,0.9207
transfer money,14,transfer,0.5365
what is my account balance,26,balance,0.6264
what is my account balance,26,balance,0.8772
